gene chr start
3168 NOP58 chr2 203130438
3169 FAM117B chr2 203499900
3170 ICA1L chr2 203736195
3171 CARF chr2 203776940
3172 NBEAL1 chr2 203879601
3173 ABI2 chr2 204192961
3174 RAPH1 chr2 204400058
3175 CD28 chr2 204571197
3176 CTLA4 chr2 204732510
3177 GPR1-AS chr2 207068099
3178 ADAM23 chr2 207308367
3179 KLF7 chr2 208030740
3180 CREB1 chr2 208394615
3181 LINC01857 chr2 208527107
3182 PLEKHM3 chr2 208890284
3183 PIKFYVE chr2 209130990
3184 PTH2R chr2 209224568
3185 LOC101927960 chr2 209407366
3186 MAP2 chr2 210288770
3187 KANSL1L chr2 211036094
3188 LOC101928020 chr2 210894645
3189 MYL1 chr2 211168339
3190 LANCL1-AS1 chr2 211189435
3191 CPS1 chr2 211342405
3192 VWC2L chr2 215276291
3193 BARD1 chr2 215674435
3194 LOC101928103 chr2 215674952
3195 ABCA12 chr2 215896810
3196 FN1 chr2 216300791
3197 LINC00607 chr2 216708259
3198 PECR chr2 216946539
3199 MARCH4 chr2 217236750
3200 SMARCAL1 chr2 217277136
3201 DIRC3 chr2 218621316
3202 TNS1 chr2 218784959
3203 USP37 chr2 219433084
3204 STK36 chr2 219536748
3205 CYP27A1 chr2 219646471
3206 SPEG chr2 220299699
3207 STK11IP chr2 220462572
3208 PAX3 chr2 223163715
3209 LOC440934 chr2 223183189
3210 FARSB chr2 223521074
3211 ACSL3 chr2 223725731
3212 AP1S3 chr2 224702319
3213 WDFY1 chr2 224810104
3214 DOCK10 chr2 225811782
3215 LOC646736 chr2 227007509
3216 RHBDD1 chr2 227700670
3217 COL4A4 chr2 228029275
3218 COL4A3 chr2 228029280
3219 MFF chr2 228189866
3220 SPHKAP chr2 229046361
3221 PID1 chr2 230096808
3222 DNER chr2 230579286
3223 FBXO36 chr2 230787206
3224 SP110 chr2 231084827
3225 SP140L chr2 231191893
3226 SP100 chr2 231280870
3227 CAB39 chr2 231577556
3228 SPATA3 chr2 231860838
3229 PSMD1 chr2 231921577
3230 ARMC9 chr2 232063259
3231 NMUR1 chr2 232395182
3232 COPS7B chr2 232646380
3233 DIS3L2 chr2 232826292
3234 EIF4E2 chr2 233415296
3235 GIGYF2 chr2 233562014
3236 INPP5D chr2 233924676
3237 SAG chr2 234216308
3238 DGKD chr2 234263152
3239 UGT1A8 chr2 234526290
3240 UGT1A10 chr2 234545122
3241 UGT1A9 chr2 234580543
3242 UGT1A7 chr2 234590583
3243 UGT1A6 chr2 234600320
3244 HJURP chr2 234763212
3245 ARL4C chr2 235405693
3246 ASB18 chr2 237172988
3247 IQCA1 chr2 237412340
3248 COL6A3 chr2 238322850
3249 MLPH chr2 238395052
3250 LRRFIP1 chr2 238536223
3251 RAMP1 chr2 238768186
3252 UBE2F chr2 238875586
3253 UBE2F-SCLY chr2 238875586
3254 ASB1 chr2 239335568
3255 NDUFA10 chr2 240964819
3256 ANKMY1 chr2 241497438
3257 GPR35 chr2 241544824
3258 KIF1A chr2 241759725
3259 C2orf54 chr2 241831455
3260 SNED1 chr2 241938254
3261 PPP1R7 chr2 242088987
3262 FARP2 chr2 242295663
3263 LINC01237 chr2 242823513
3264 FAM110C chr2 46588
3265 ACP1 chr2 264868
3266 FAM150B chr2 288308
3267 LOC105373352 chr2 558200
3268 TMEM18 chr2 677439
3269 LINC01939 chr2 901137
3270 LOC101060391 chr2 947078
3271 MYT1L-AS1 chr2 2323003
3272 ADI1 chr2 3521518
3273 RNASEH1 chr2 3605961
3274 RNASEH1-AS1 chr2 3605975
3275 RPS7 chr2 3622852
3276 ALLC chr2 3705785
3277 LINC01304 chr2 4021622
3278 LOC105373394 chr2 4021750
3279 LINC01249 chr2 4703812
3280 LINC01248 chr2 5831250
3281 SOX11 chr2 5832798
3282 LINC01105 chr2 6072818
3283 MIR7158 chr2 6114793
3284 LOC400940 chr2 6122109
3285 LINC01247 chr2 6515554
3286 LINC01246 chr2 6773919
3287 MIR7515HG chr2 6790651
3288 MIR7515 chr2 6790504
3289 LINC00487 chr2 6910442
3290 NRIR chr2 6980595
3291 CMPK2 chr2 7005950
3292 RSAD2 chr2 7017795
3293 RNF144A-AS1 chr2 7058813
3294 LOC100506274 chr2 7561391
3295 LOC101929551 chr2 8039786
3296 LINC00298 chr2 8116945
3297 LINC01814 chr2 8723922
3298 ID2-AS1 chr2 8821993
3299 ID2 chr2 8822112
3300 ITGB1BP1 chr2 9562789
3301 IAH1 chr2 9614657
3302 ADAM17 chr2 9695949
3303 YWHAQ chr2 9771184
3304 TAF1B chr2 9983570
3305 LOC101929882 chr2 10183528
3306 KLF11 chr2 10183681
3307 CYS1 chr2 10220538
3308 RRM2 chr2 10262694
3309 C2orf48 chr2 10281508
3310 MIR4261 chr2 10332797
3311 ODC1 chr2 10587925
3312 SNORA80B chr2 10586975
3313 LOC101929715 chr2 10589853
3314 RN7SL832P chr2 10830135
3315 PDIA6 chr2 10952965
3316 LINC01954 chr2 11018392
3317 KCNF1 chr2 11052062
3318 C2orf50 chr2 11273178
3319 PQLC3 chr2 11295497
3320 E2F6 chr2 11606303
3321 GREB1 chr2 11674241
3322 MIR4429 chr2 11680803
3323 NTSR2 chr2 11810329
3324 MIR548S chr2 11907569
3325 MIR4262 chr2 11977112
3326 MIR3681 chr2 12339255
3327 TRIB2 chr2 12856997
3328 MIR3125 chr2 12877492
3329 FAM84A chr2 14772806
3330 DDX1 chr2 15731744
3331 LINC01804 chr2 15830905
3332 MYCNUT chr2 16060520
3333 MYCNOS chr2 16081845
3334 MYCN chr2 16080559
3335 GACAT3 chr2 16190548
3336 SMC6 chr2 17935096
3337 MSGN1 chr2 17997785
3338 RDH14 chr2 18741959
3339 NT5C1B chr2 18770846
3340 LINC01376 chr2 19226726
3341 MIR4757 chr2 19548189
3342 OSR1 chr2 19558372
3343 LINC00954 chr2 20068614
3344 TTC32 chr2 20101747
3345 LOC101928222 chr2 20189964
3346 MATN3 chr2 20212455
3347 LAPTM4A chr2 20251789
3348 SDC1 chr2 20424927
3349 PUM2 chr2 20527147
3350 RHOB chr2 20646831
3351 HS1BP3-IT1 chr2 20792308
3352 GDF7 chr2 20866423
3353 LINC01822 chr2 21933524
3354 LINC01884 chr2 22759350
3355 UBXN2A chr2 24163375
3356 WDCP chr2 24270296
3357 FKBP1B chr2 24272570
3358 SF3B6 chr2 24299314
3359 TP53I3 chr2 24307201
3360 PFN4 chr2 24346347
3361 FAM228A chr2 24397911
3362 PTRHD1 chr2 25016251
3363 ADCY3 chr2 25142886
3364 DNAJC27 chr2 25194963
3365 DNAJC27-AS1 chr2 25194980
3366 POMC chr2 25391720
3367 MIR1301 chr2 25551590
3368 KIF3C chr2 26205443
3369 GAREM2 chr2 26395959
3370 HADHA chr2 26467594
3371 ADGRF3 chr2 26541970
3372 DRC1 chr2 26624779
3373 C2orf70 chr2 26785426
3374 CIB4 chr2 26864236
3375 KCNK3 chr2 26915580
3376 CENPA chr2 27008881
3377 MAPRE3 chr2 27193238
3378 AGBL5-AS1 chr2 27273132
3379 AGBL5 chr2 27274290
3380 OST4 chr2 27294567
3381 EMILIN1 chr2 27301434
3382 KHK chr2 27309610
3383 CGREF1 chr2 27341995
3384 ABHD1 chr2 27346656
3385 PREB chr2 27357543
3386 PRR30 chr2 27362332
3387 TCF23 chr2 27371944
3388 SLC5A6 chr2 27435175
3389 ATRAID chr2 27434898
3390 CAD chr2 27440257
3391 SLC30A3 chr2 27485960
3392 DNAJC5G chr2 27498288
3393 UCN chr2 27531313
3394 MPV17 chr2 27545969
3395 GTF3C2 chr2 27579359
3396 GTF3C2-AS1 chr2 27558408
3397 EIF2B4 chr2 27592919
3398 SNX17 chr2 27593362
3399 ZNF513 chr2 27603311
3400 PPM1G chr2 27632550
3401 FTH1P3 chr2 27616443
3402 KRTCAP3 chr2 27665232
3403 IFT172 chr2 27712678
3404 FNDC4 chr2 27718126
3405 GCKR chr2 27719705
3406 C2orf16 chr2 27799388
3407 ZNF512 chr2 27805835
3408 CCDC121 chr2 27851745
3409 GPN1 chr2 27851514
3410 SUPT7L chr2 27886707
3411 SLC4A1AP chr2 27886337
3412 LINC01460 chr2 27938599
3413 MRPL33 chr2 27994583
3414 BRE-AS1 chr2 28113981
3415 MIR4263 chr2 28219233
3416 LOC100505736 chr2 28429828
3417 LOC100505716 chr2 28533326
3418 FLJ31356 chr2 28617539
3419 FOSL2 chr2 28615778
3420 PPP1CB chr2 28974613
3421 SPDYA chr2 29033699
3422 TRMT61B chr2 29093175
3423 WDR43 chr2 29117508
3424 SNORD92 chr2 29136527
3425 SNORD53 chr2 29149932
3426 C2orf71 chr2 29297127
3427 LOC105374389 chr2 29698243
3428 YPEL5 chr2 30369749
3429 LBH chr2 30454396
3430 LOC285043 chr2 30569511
3431 CAPN13 chr2 31030311
3432 CAPN14 chr2 31440411
3433 SRD5A2 chr2 31806040
3434 SLC30A6 chr2 32390909
3435 NLRC4 chr2 32489949
3436 MIR558 chr2 32757219
3437 BIRC6-AS2 chr2 32799885
3438 MIR4765 chr2 32860321
3439 MIR4430 chr2 33643582
3440 MYADML chr2 33953284
3441 LINC01318 chr2 34292292
3442 LINC01320 chr2 34902623
3443 MIR548AD chr2 35696470
3444 LOC100288911 chr2 36582713
3445 FEZ2 chr2 36825332
3446 GPATCH11 chr2 37311593
3447 SULT6B1 chr2 37415690
3448 CEBPZOS chr2 37423603
3449 CEBPZ chr2 37458740
3450 NDUFAF7 chr2 37458773
3451 QPCT chr2 37571752
3452 LINC00211 chr2 38056854
3453 RMDN2-AS1 chr2 38263484
3454 CYP1B1 chr2 38303323
3455 LOC101929596 chr2 38742882
3456 SRSF7 chr2 38978636
3457 GEMIN6 chr2 39005326
3458 MORN2 chr2 39103102
3459 LOC375196 chr2 39187485
3460 TMEM178A chr2 39892637
3461 LINC01913 chr2 42104694
3462 LINC01914 chr2 42160863
3463 C2orf91 chr2 42180943
3464 PKDCC chr2 42275160
3465 LOC102723824 chr2 42397371
3466 COX7A2L chr2 42588383
3467 KCNG3 chr2 42721237
3468 OXER1 chr2 42991401
3469 HAAO chr2 43019751
3470 LINC01819 chr2 43266682
3471 ZFP36L2 chr2 43453745
3472 LINC01126 chr2 43454349
3473 C1GALT1C1L chr2 43903461
3474 DYNC2LI1 chr2 44001177
3475 ABCG8 chr2 44066102
3476 SLC3A1 chr2 44502596
3477 SIX3-AS1 chr2 45168646
3478 SIX3 chr2 45169036
3479 SIX2 chr2 45236542
3480 TMEM247 chr2 46706703
3481 ATP6V1E2 chr2 46769696
3482 LOC100506142 chr2 46807377
3483 PIGF chr2 46844251
3484 CRIPT chr2 46844310
3485 SOCS5 chr2 46926098
3486 LINC01118 chr2 47043806
3487 LINC01119 chr2 47055002
3488 MCFD2 chr2 47143007
3489 CALM2 chr2 47401346
3490 BCYRN1 chr2 47562453
3491 EPCAM chr2 47596286
3492 MIR559 chr2 47604813
3493 KCNK12 chr2 47797470
3494 HCG2040054 chr2 47754675
3495 MSH6 chr2 48010220
3496 FOXN2 chr2 48541794
3497 PPP1R21 chr2 48667907
3498 LHCGR chr2 48982880
3499 MIR548BA chr2 49286741
3500 MIR8485 chr2 50923400
3501 LINC01867 chr2 52597785
3502 MIR4431 chr2 52929753
3503 ERLEC1 chr2 54014067
3504 MIR3682 chr2 54076342
3505 GPR75 chr2 54087170
3506 TSPYL6 chr2 54483409
3507 C2orf73 chr2 54558070
3508 RPL23AP32 chr2 54756358
3509 RPS27A chr2 55459038
3510 MTIF2 chr2 55496315
3511 PRORSD1P chr2 55509454
3512 CFAP36 chr2 55746730
3513 PNPT1 chr2 55921045
3514 MIR217 chr2 56210211
3515 MIR216A chr2 56216194
3516 MIR216B chr2 56227930
3517 LINC01813 chr2 56317517
3518 LOC100129434 chr2 56412905
3519 LINC01793 chr2 59444842
3520 MIR4432HG chr2 60610171
3521 MIR4432 chr2 60614580
3522 PAPOLG chr2 60983364
3523 REL chr2 61108629
3524 PEX13 chr2 61244811
3525 LOC339803 chr2 61372110
3526 C2orf74 chr2 61372202
3527 AHSA2 chr2 61404552
3528 SNORA70B chr2 61644512
3529 FAM161A chr2 62081278
3530 CCT4 chr2 62115806
3531 B3GNT2 chr2 62423261
3532 MIR5192 chr2 62432960
3533 TMEM17 chr2 62733604
3534 LOC100132215 chr2 63274846
3535 OTX1 chr2 63277191
3536 DBIL5P2 chr2 63346677
3537 LINC00309 chr2 64432619
3538 LOC100507006 chr2 64455534
3539 MIR4433B chr2 64567982
3540 MIR4433A chr2 64567892
3541 LGALSL chr2 64681326
3542 AFTPH chr2 64751438
3543 MIR4434 chr2 64752646
3544 LOC339807 chr2 64834445
3545 LINC01800 chr2 65090765
3546 SLC1A4 chr2 65215578
3547 CEP68 chr2 65283494
3548 RAB1A chr2 65357435
3549 ACTR2 chr2 65454828
3550 SPRED2 chr2 65593931
3551 MIR4778 chr2 66585460
3552 LINC01873 chr2 66610437
3553 MEIS1-AS3 chr2 66660602
3554 MEIS1-AS2 chr2 66667462
3555 LINC01797 chr2 66930359
3556 LINC01799 chr2 67131567
3557 LINC01628 chr2 67149622
3558 LOC101927661 chr2 67440539
3559 WDR92 chr2 68384692
3560 PNO1 chr2 68384961
3561 CNRIP1 chr2 68547183
3562 PLEK chr2 68592321
3563 FBXO48 chr2 68694449
3564 APLF chr2 68694690
3565 PROKR1 chr2 68870719
3566 ARHGAP25 chr2 68961912
3567 BMP10 chr2 69098649
3568 GKN2 chr2 69180102
3569 MIR3126 chr2 69330813
3570 NFU1 chr2 69664760
3571 SNORA36C chr2 69747303
3572 GMCL1 chr2 70056737
3573 MXD1 chr2 70142172
3574 ASPRV1 chr2 70189397
3575 PCBP1 chr2 70314584
3576 LINC01816 chr2 70352448
3577 TIA1 chr2 70475779
3578 MIR1285-2 chr2 70480137
3579 PCYOX1 chr2 70485230
3580 FAM136A chr2 70529177
3581 TGFA-IT1 chr2 70708772
3582 FIGLA chr2 71017775
3583 CD207 chr2 71062953
3584 LINC01143 chr2 71115000
3585 VAX2 chr2 71127719
3586 ANKRD53 chr2 71205574
3587 TEX261 chr2 71222001
3588 OR7E91P chr2 71251204
3589 MCEE chr2 71357394
3590 MPHOSPH10 chr2 71357443
3591 CYP26B1 chr2 72374991
3592 SPR chr2 73114511
3593 EMX1 chr2 73144603
3594 RAB11FIP5 chr2 73340146
3595 NOTO chr2 73429385
3596 SMYD5 chr2 73441365
3597 PRADC1 chr2 73460412
3598 CCT7 chr2 73461363
3599 FBXO41 chr2 73496758
3600 EGR4 chr2 73520829
3601 ALMS1-IT1 chr2 73684229
3602 NAT8 chr2 73869537
3603 ALMS1P1 chr2 73872045
3604 NAT8B chr2 73928467
3605 TPRKB chr2 73964388
3606 DUSP11 chr2 74007284
3607 C2orf78 chr2 74011315
3608 STAMBP chr2 74056042
3609 ACTG2 chr2 74120092
3610 DGUOK chr2 74153952
3611 BOLA3 chr2 74375039
3612 BOLA3-AS1 chr2 74375107
3613 MOB1A chr2 74405441
3614 MTHFD2 chr2 74425689
3615 DCTN1 chr2 74601862
3616 DCTN1-AS1 chr2 74612844
3617 C2orf81 chr2 74644844
3618 WDR54 chr2 74648849
3619 RTKN chr2 74667710
3620 INO80B chr2 74682149
3621 INO80B-WBP1 chr2 74682149
3622 WBP1 chr2 74685526
3623 MOGS chr2 74692537
3624 MRPL53 chr2 74699942
3625 CCDC142 chr2 74710357
3626 LBX2 chr2 74726685
3627 LBX2-AS1 chr2 74729743
3628 PCGF1 chr2 74734821
3629 TLX2 chr2 74741595
3630 DQX1 chr2 74753408
3631 AUP1 chr2 74757024
3632 HTRA2 chr2 74756531
3633 LOXL3 chr2 74776790
3634 DOK1 chr2 74776146
3635 SEMA4F chr2 74881354
3636 LINC01291 chr2 75136257
3637 POLE4 chr2 75185774
3638 MIR5000 chr2 75317938
3639 MRPL19 chr2 75873908
3640 LOC101927907 chr2 77213090
3641 LINC01851 chr2 78143059
3642 SNAR-H chr2 78182152
3643 LOC101927948 chr2 78315855
3644 REG3G chr2 79252811
3645 REG1B chr2 79315150
3646 REG1A chr2 79347583
3647 REG1CP chr2 79365553
3648 REG3A chr2 79386879
3649 LOC101927987 chr2 79727970
3650 MIR4264 chr2 79876485
3651 MIR8080 chr2 80093709
3652 LRRTM1 chr2 80531487
3653 LINC01815 chr2 81694070
3654 DHFRP3 chr2 83083926
3655 FUNDC2P2 chr2 84517805
3656 TMSB10 chr2 85132762
3657 KCMF1 chr2 85198230
3658 LOC102724579 chr2 85440774
3659 TGOLN2 chr2 85555419
3660 RETSAT chr2 85581821
3661 CAPG chr2 85636955
3662 SH2D6 chr2 85646053
3663 PARTICL chr2 85766009
3664 MAT2A chr2 85766100
3665 GGCX chr2 85788657
3666 VAMP8 chr2 85804613
3667 VAMP5 chr2 85811530
3668 RNF181 chr2 85822836
3669 TMEM150A chr2 85829822
3670 C2orf68 chr2 85839179
3671 SFTPB chr2 85895864
3672 GNLY chr2 85921413
3673 MIR6071 chr2 86010800
3674 LOC284950 chr2 86042252
3675 ST3GAL5-AS1 chr2 86116402
3676 LOC90784 chr2 86250991
3677 POLR1A chr2 86333278
3678 PTCD3 chr2 86333304
3679 SNORD94 chr2 86362992
3680 MIR4779 chr2 86420231
3681 MRPL35 chr2 86426555
3682 KDM3A chr2 86668270
3683 RNF103 chr2 86851000
3684 RMND5A chr2 86947413
3685 CD8B chr2 87089047
3686 ANAPC1P1 chr2 87088947
3687 PLGLB1 chr2 87248969
3688 MIR4771-1 chr2 87421908
3689 MIR4435-1 chr2 87929273
3690 PLGLB2 chr2 88047605
3691 SMYD1 chr2 88367298
3692 MIR4780 chr2 88382118
3693 FABP1 chr2 88427650
3694 FOXI3 chr2 88752053
3695 TEX37 chr2 88824168
3696 LOC101928403 chr2 88927346
3697 ANKRD36BP2 chr2 89065418
3698 MIR4436A chr2 89111883
3699 LOC654342 chr2 91847975
3700 LOC101927050 chr2 91900136
3701 GGT8P chr2 91963367
3702 ACTR3BP2 chr2 92129158
3703 FAM95A chr2 95426929
3704 ANKRD20A8P chr2 95522820
3705 TEKT4 chr2 95537177
3706 MAL chr2 95691399
3707 MRPS5 chr2 95787302
3708 ZNF2 chr2 95831161
3709 KCNIP3 chr2 95963071
3710 TRIM43B chr2 96150479
3711 TRIM43 chr2 96257765
3712 LINC00342 chr2 96492729
3713 FAHD2CP chr2 96676298
3714 GPAT2 chr2 96700993
3715 ADRA2B chr2 96781984
3716 ASTL chr2 96804175
3717 DUSP2 chr2 96811179
3718 STARD7-AS1 chr2 96874153
3719 TMEM127 chr2 96931751
3720 CIAO1 chr2 96931883
3721 SNRNP200 chr2 96971307
3722 NCAPH chr2 97001478
3723 NEURL3 chr2 97171122
3724 LOC105373496 chr2 97198043
3725 ARID5A chr2 97202455
3726 KANSL3 chr2 97303797
3727 FER1L5 chr2 97308473
3728 CNNM4 chr2 97426638
3729 MIR3127 chr2 97464014
3730 CNNM3 chr2 97481990
3731 ANKRD23 chr2 97509758
3732 SEMA4C chr2 97535735
3733 LOC101927053 chr2 97584842
3734 FAHD2B chr2 97760619
3735 LOC100506076 chr2 97944453
3736 LOC100506123 chr2 98089620
3737 COX5B chr2 98262520
3738 ACTR1B chr2 98280561
3739 ZAP70 chr2 98330030
3740 CNGA3 chr2 98962617
3741 UNC50 chr2 99225010
3742 MGAT4A chr2 99279936
3743 LOC101927070 chr2 99388361
3744 C2orf15 chr2 99758075
3745 LIPT1 chr2 99771417
3746 MITD1 chr2 99797524
3747 MRPL30 chr2 99797541
3748 LYG2 chr2 99871570
3749 LYG1 chr2 99917639
3750 TXNDC9 chr2 99952860
3751 REV1 chr2 100106518
3752 LINC01104 chr2 100824715
3753 CHST10 chr2 101034130
3754 NMS chr2 101086943
3755 LOC101927142 chr2 101593623
3756 RPL31 chr2 101618690
3757 TBC1D8-AS1 chr2 101768121
3758 CNOT11 chr2 101869344
3759 SNORD89 chr2 101889511
3760 RNF149 chr2 101925178
3761 MIR5696 chr2 101925911
3762 RFX8 chr2 102091165
3763 LINC01127 chr2 102599926
3764 IL1RL2 chr2 102803432
3765 IL1RL1 chr2 102927961
3766 IL18R1 chr2 102972742
3767 IL18RAP chr2 103035249
3768 MIR4772 chr2 103048748
3769 SLC9A4 chr2 103089761
3770 MFSD9 chr2 103353347
3771 LINC01796 chr2 103512180
3772 LINC01935 chr2 103600887
3773 LOC100287010 chr2 105024790
3774 LINC01831 chr2 105030489
3775 LINC01114 chr2 105374177
3776 LINC01158 chr2 105467934
3777 POU3F3 chr2 105470525
3778 LINC01159 chr2 105489053
3779 MRPS9 chr2 105654482
3780 UTAT33 chr2 105719402
3781 LINC01918 chr2 105760570
3782 GPR45 chr2 105858199
3783 C2orf49 chr2 105953815
3784 LOC285000 chr2 106227016
3785 UXS1 chr2 106755337
3786 PLGLA chr2 106998569
3787 RGPD3 chr2 107084801
3788 RGPD4-AS1 chr2 108443225
3789 RGPD4 chr2 108443387
3790 SLC5A7 chr2 108602969
3791 LINC01593 chr2 108669211
3792 SULT1C3 chr2 108856447
3793 SULT1C2P1 chr2 108938693
3794 SULT1C4 chr2 108994366
3795 GCC2 chr2 109065576
3796 GCC2-AS1 chr2 109150675
3797 RANBP2 chr2 109335936
3798 SH3RF3-AS1 chr2 109746575
3799 MIR4265 chr2 109758044
3800 MIR4266 chr2 109930081
3801 SOWAHC chr2 110371910
3802 RGPD5 chr2 110550334
3803 LIMS3 chr2 110656008
3804 LIMS3-LOC440895 chr2 110656008
3805 LOC440895 chr2 110705266
3806 LINC01123 chr2 110744556
3807 MIR4267 chr2 110827619
3808 MALL chr2 110874143
3809 MIR4436B1 chr2 110844100
3810 LINC00116 chr2 110980517
3811 MIR4436B2 chr2 111042429
3812 LINC01106 chr2 111142113
3813 LOC100288570 chr2 111181393
3814 LIMS4 chr2 111230652
3815 LOC105373553 chr2 111368702
3816 SNORD132 chr2 111415826
3817 ACOXL-AS1 chr2 111873165
3818 BCL2L11 chr2 111878490
3819 MIR4435-2 chr2 112078663
3820 MIR4771-2 chr2 112528711
3821 FBLN7 chr2 112895961
3822 ZC3H6 chr2 113033177
3823 RGPD8 chr2 113191222
3824 LOC105373562 chr2 113299789
3825 POLR1B chr2 113299491
3826 CHCHD5 chr2 113342013
3827 FLJ42351 chr2 113401757
3828 SLC20A1 chr2 113403433
3829 IL1A chr2 113542975
3830 IL1B chr2 113594356
3831 IL37 chr2 113670547
3832 IL36G chr2 113735595
3833 IL36A chr2 113763037
3834 IL36B chr2 113810444
3835 IL36RN chr2 113816214
3836 IL1F10 chr2 113825546
3837 IL1RN chr2 113875469
3838 PSD4 chr2 113931559
3839 PAX8-AS1 chr2 113993103
3840 CBWD2 chr2 114195267
3841 FOXD4L1 chr2 114256660
3842 FAM138B chr2 114334958
3843 MIR1302-3 chr2 114340673
3844 WASH2P chr2 114341229
3845 DDX11L2 chr2 114359153
3846 RPL23AP7 chr2 114384715
3847 RABL2A chr2 114384805
3848 SLC35F5 chr2 114514270
3849 MIR4782 chr2 114478945
3850 LOC101060091 chr2 114648569
3851 LOC100499194 chr2 114737561
3852 LINC01191 chr2 114737145
3853 DPP10-AS3 chr2 115591125
3854 DPP10-AS1 chr2 115918920
3855 DDX18 chr2 118572254
3856 INSIG2 chr2 118845993
3857 LOC100506797 chr2 118943962
3858 LOC101927709 chr2 119360542
3859 EN1 chr2 119605759
3860 MARCO chr2 119699744
3861 C1QL2 chr2 119916471
3862 STEAP3 chr2 119981383
3863 STEAP3-AS1 chr2 120006647
3864 DBI chr2 120124499
3865 SCTR chr2 120282028
3866 TMEM177 chr2 120436742
3867 RALB chr2 121010413
3868 INHBB chr2 121103717
3869 LINC01101 chr2 121223925
3870 RNU4ATAC chr2 122288455
3871 NIFK chr2 122494503
3872 TSN chr2 122513120
3873 GYPC chr2 127413510
3874 LOC101929926 chr2 127656461
3875 BIN1 chr2 127839641
3876 CYP27C1 chr2 127963343
3877 ERCC3 chr2 128051670
3878 PROC chr2 128175995
3879 MIR4783 chr2 128181194
3880 IWS1 chr2 128284087
3881 LIMS2 chr2 128405828
3882 GPR17 chr2 128403438
3883 SFT2D3 chr2 128458596
3884 WDR33 chr2 128568761
3885 POLR2D chr2 128615729
3886 AMMECR1L chr2 128642434
3887 UGGT1 chr2 128848753
3888 HS6ST1 chr2 129076171
3889 LOC101927881 chr2 129622173
3890 PLAC9P1 chr2 130691890
3891 LINC01856 chr2 130680749
3892 RAB6C-AS1 chr2 130738045
3893 RAB6C chr2 130737234
3894 FAR2P1 chr2 130808704
3895 POTEF chr2 130886795
3896 MED15P9 chr2 130887195
3897 CCDC74B chr2 130902707
3898 SMPD4 chr2 130939330
3899 TUBA3E chr2 130956034
3900 CCDC115 chr2 131099681
3901 IMP4 chr2 131099797
3902 PTPN18 chr2 131113579
3903 FAR2P2 chr2 131186119
3904 CYP4F62P chr2 131199254
3905 POTEI chr2 131266808
3906 CFC1B chr2 131278666
3907 LOC646743 chr2 131307488
3908 CFC1 chr2 131357148
3909 POTEJ chr2 131369105
3910 CYP4F30P chr2 131437622
3911 GPR148 chr2 131486642
3912 AMER3 chr2 131513076
3913 FAM168B chr2 131850531
3914 PLEKHB2 chr2 131862419
3915 LOC440910 chr2 132036862
3916 LINC01120 chr2 132160473
3917 NOC2LP2 chr2 132202467
3918 TUBA3D chr2 132233579
3919 MZT2A chr2 132250064
3920 MIR4784 chr2 132248809
3921 CCDC74A chr2 132285406
3922 POTEKP chr2 132349665
3923 LINC01087 chr2 132394597
3924 C2orf27B chr2 132559234
3925 MIR663B chr2 133014653
3926 ZNF806 chr2 133064716
3927 FAM201B chr2 133110239
3928 LYPD1 chr2 133427943
3929 LOC101928185 chr2 133673129
3930 LOC101928161 chr2 134023766
3931 MIR3679 chr2 134884695
3932 MIR5590 chr2 135615389
3933 CCNT2 chr2 135676391
3934 MAP3K19 chr2 135782248
3935 MIR128-1 chr2 136422966
3936 UBXN4 chr2 136499188
3937 LOC100507600 chr2 136577760
3938 MCM6 chr2 136634047
3939 DARS-AS1 chr2 136742745
3940 CXCR4 chr2 136873805
3941 HNMT chr2 138721807
3942 LINC01832 chr2 138859453
3943 YY1P2 chr2 139654893
3944 MIR7157 chr2 141344254
3945 ZEB2-AS1 chr2 145277180
3946 LINC01412 chr2 145279434
3947 LOC105373656 chr2 145282011
3948 PABPC1P2 chr2 147344624
3949 MMADHC chr2 150444330
3950 LINC01931 chr2 150715705
3951 RND3 chr2 151344209
3952 LINC01920 chr2 151428735
3953 LOC101929282 chr2 151485410
3954 RBM43 chr2 152118389
3955 NMI chr2 152146430
3956 LOC101929319 chr2 152235885
3957 TNFAIP6 chr2 152214105
3958 MIR4773-1 chr2 152224847
3959 MIR4773-2 chr2 152224925
3960 ARL5A chr2 152685009
3961 STAM2 chr2 153032506
3962 PRPF40A chr2 153573975
3963 RPRM chr2 154335322
3964 LOC100144595 chr2 155313950
3965 NR4A2 chr2 157189287
3966 GALNT5 chr2 158114109
3967 ERMN chr2 158182460
3968 FAM133DP chr2 158237021
3969 CYTIP chr2 158300604
3970 CCDC148-AS1 chr2 159023161
3971 PKP4-AS1 chr2 159591514
3972 DAPL1 chr2 159651828
3973 MIR6888 chr2 160043345
3974 WDSUB1 chr2 160143063
3975 LOC643072 chr2 160471804
3976 MARCH7 chr2 160568967
3977 CD302 chr2 160654766
3978 LOC100505984 chr2 161128406
3979 MIR4785 chr2 161264393
3980 LOC101929512 chr2 162111154
3981 LINC01806 chr2 162101249
3982 TBR1 chr2 162272604
3983 AHCTF1P1 chr2 162364413
3984 LOC101929532 chr2 162970950
3985 GCG chr2 163008914
3986 IFIH1 chr2 163175218
3987 LOC101929570 chr2 163625445
3988 SNORA70F chr2 165544287
3989 LOC101929633 chr2 165697258
